"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
120,49.1460169438962,40.3064453589711,40.3064383199891,40.306439302788,0,3,3,3,40.5139089482771,40.5142761033692,40.5157546022794,41.7616303493232,44.9948131510403,47.3625157543295,49.0590292453981,49.7378605325844,42.7045085595183,46.4753614708973,49.0662815586495,50.1735007343629,46.9642319437528,41.6875516092462,42.6222761880984,45.3740084272344,43.4659639164462,42.2222779401327
180,42.8431060448534,40.306377869235,40.3064116720094,40.3064739379094,0,3,3,2,40.9303124376008,44.4543786763525,45.1417218787831,40.4196211020525,40.5543179386834,40.8314511035555,41.5864807334856,42.3116090360392,43.6479500214363,44.5451982113584,44.9852511495664,41.7314533501641,41.01720054418,40.9240290012011,41.2263614785159,41.5755299159402,43.8103252929224,43.8403059650999
240,41.1325538268458,40.3064845573839,40.3065232945341,40.3065604944659,0,3,2,2,41.8364872492548,42.825254710484,41.8763587474765,40.5211211806115,40.633911252548,40.6603114262329,40.6803894739593,40.7194650252339,41.4360406328873,41.2118091326057,40.9522124582861,40.8015996662175,40.8101790752911,41.0020242495021,41.0032344126175,41.024231490497,42.3850523058575,42.0242177015253
300,41.0438014163053,40.3067387528899,40.3063701160348,40.3064877684646,0,3,0,2,41.2594658048259,41.6632929509627,40.9793627450126,40.6125056892815,40.6345027707382,40.6423522009212,40.6537240634125,40.6688299794243,40.8597415969597,40.8707669772956,40.9090752377934,40.9227968817756,40.8905961448119,41.1821727217173,41.1976515580072,41.2803395670416,41.3151721397115,41.141983681794
360,40.6798505896405,40.3066430102142,40.3064444806358,40.3064068186714,0,2,0,1,40.7719204694583,41.2195418514025,40.6982856153532,40.530499026054,40.613469894687,40.6009319441733,40.613087764665,40.6169230497544,40.6287200302571,40.6549576758188,40.7092174641388,40.7819572381931,40.5956958281138,41.2162180083354,41.2152375095676,41.1130175016375,40.8806857094858,40.7790934423626
420,40.7420765731734,40.3065620329974,40.30654049147,40.3065621094427,0,0,0,0,40.8863751260172,41.0491885336099,40.7207384996948,40.816824336952,40.8447853589533,40.8430486527943,40.7527023211984,40.738991058496,40.8675921716683,40.8925836952504,40.9292694348695,40.8203278331546,40.7707159551729,41.0081931719515,40.983801658166,40.8662949813264,40.7720881990026,40.7591178644471
480,40.8306738973666,40.3063351282673,40.3064083965652,40.3063734578796,0,0,0,0,40.8934115740393,40.9417269181098,40.7659540592242,40.8639654803007,40.8699457145342,40.8638139247195,40.8413855832458,40.8161695487928,40.8882235436998,40.8995131022919,40.8665117771169,40.840239051631,40.7930611812625,40.8840049398325,40.8605630785194,40.8004192823076,40.773281201764,40.7860348615261
540,40.8679142508448,40.3064744105854,40.3064557277995,40.3064613964107,0,0,0,0,40.8800920865784,40.8740745751736,40.7950275206055,40.878391763664,40.8689950050271,40.8743821648215,40.8681890038725,40.8548461443211,40.8848679152104,40.8725786955854,40.8562158486527,40.8295891386482,40.8120457078325,40.8535851297903,40.8407211442295,40.8013098903944,40.7828150146991,40.7907486712889
600,40.879974252984,40.3064459117464,40.3064408383885,40.3064364575841,0,0,0,0,40.8769409504261,40.8435791862641,40.7974091285504,40.8781738982107,40.8682310026983,40.8752307389715,40.8760585240031,40.8701750517073,40.8703278929698,40.8654528086258,40.8451646901282,40.8337459157961,40.8224168560353,40.8281136146664,40.8592639000224,40.8046631738526,40.7936012853645,40.7865622554628
