"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
360,46.945339950363,40.3064395527609,40.3064378271442,40.3064381320534,0,2,2,2,40.4360555361358,40.4372057761424,40.4367931013338,40.9975623336962,42.8915299636849,44.7039209323557,46.5199317050923,47.6045589551685,41.5710583633151,44.2374223522145,46.9045098406816,48.9103747100536,45.2839707115605,40.9783133763323,41.4477480147132,43.1724041119878,42.0785668129557,41.3320733002646
540,41.3454268380211,40.3064063618294,40.3064255432987,40.3063973196151,0,2,2,2,40.7946029219997,42.0770459580189,42.1564521921978,40.4001870614674,40.4640884930841,40.5345106087581,40.6988106441758,40.8767126209441,41.8178680604445,41.7979357761495,42.3045144941334,40.7744979306913,40.5546504350483,40.6388007401219,40.7429653020458,41.0178007871397,41.9359471218248,41.9668196436436
720,40.6127226573554,40.3064655605375,40.3064825635396,40.3064692701811,0,2,2,2,40.779442273066,40.7795080510635,40.7265192251445,40.3957426350534,40.4201512477413,40.4290775160033,40.4358199279373,40.4396582233759,40.5505801183274,40.521507261861,40.4644054698183,40.436695461838,40.4337929687428,40.4294328648477,40.4331177742097,40.4422621443452,40.947653957344,40.9122514439728
900,40.4255535246346,40.3065737803432,40.3065302604756,40.3065825607535,0,2,2,2,40.4494886294986,40.4387637361782,40.4096549706484,40.3577966813354,40.3648041050394,40.3659152906484,40.3675519909246,40.3678283968331,40.3803876002064,40.3851384372272,40.3873101952655,40.3844970706856,40.3827871859443,40.3431403758455,40.3516845319774,40.3603585356895,40.3780097083095,40.4740302554146
1080,40.3371260771134,40.3065030698891,40.3064718286373,40.3064309441676,0,2,2,2,40.343006672169,40.32987900886,40.3442676340386,40.3114124411179,40.3170097598767,40.3225145538729,40.3248622159442,40.3260053028298,40.3412853148225,40.3424296475003,40.3403189757113,40.3314716593711,40.3191205436373,40.3229403337991,40.3307060931699,40.3416218186389,40.3447067087447,40.3500328974794
1260,40.3155840468042,40.30654725334,40.3065437283041,40.3064956087626,0,2,2,2,40.3129783438329,40.3130779868014,40.3117964423156,40.3074780075641,40.308038542276,40.309611447001,40.3107428490049,40.3110173220732,40.3165624513404,40.3145029029706,40.3114811721364,40.3068063795769,40.3049666852001,40.307979114143,40.3080327239359,40.313753375942,40.3197496510292,40.3199933258071
1440,40.3059046212214,40.3065682691992,40.3065532947706,40.3065364973373,0,2,2,2,40.3042260491792,40.3063663888878,40.3043319850322,40.3047258514037,40.3047713734487,40.3044019133942,40.3044016280044,40.3045212936293,40.3038972139287,40.3030674255521,40.3032051426294,40.3041647565997,40.3050129332459,40.3048736599439,40.3044223966017,40.3056075887361,40.3086496700056,40.3074335792607
1620,40.3025624495065,40.3065469143447,40.3065084725545,40.3065133428999,0,2,2,2,40.3024359975924,40.3038277599435,40.3020674408564,40.3039939761428,40.3038006571723,40.3037638680018,40.3036799393651,40.3035841994977,40.3029069088535,40.3037401994398,40.303954999056,40.3042321494645,40.3042867377335,40.304351665593,40.3042900975869,40.3029848473397,40.3026181478523,40.3029946815173
1800,40.3018556162312,40.3065151633432,40.3064965260495,40.3064836694487,0,2,2,2,40.3020561193365,40.3022556351478,40.3019204667825,40.3041695267182,40.303932093082,40.3037660512116,40.3034354478194,40.3028909465335,40.3036225773844,40.3037262311884,40.3038225966102,40.3038236992748,40.3038108383125,40.3036304510523,40.3035527881451,40.3023718744956,40.3015068445986,40.3019229487322
