"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
360,45.761847721467,40.306440546079,40.306437960481,40.3064384218914,0,3,3,3,40.3855805930935,40.386321276296,40.3858743763348,40.7644475358091,42.0912797083495,43.4766301323775,45.0234649388584,46.0631144655926,41.1601369519093,43.124429720395,45.3922870843677,47.5372208370717,44.3066998508978,40.7483027225581,41.0655299168609,42.3137662876073,41.5764821713585,41.0293607553712
540,41.7383916484449,40.3063778418353,40.3064010256539,40.306348729508,0,1,1,1,40.6701644613165,42.7034676835415,42.8555004728472,40.4206653659836,40.5186731615663,40.6426274782982,40.9400259914107,41.2767887000025,42.1325753335542,42.2811182096743,42.774697284393,41.4636147831282,40.8222926421832,41.1095757516454,41.1932939268958,41.3043284410064,42.2892691189998,42.2564086293964
720,41.5060026235288,40.3064013051898,40.306436282531,40.3064359061258,0,0,1,1,41.396806564734,40.7584864840554,41.218647371394,41.3198382412564,41.3229498944017,41.3466281509849,41.4617628063405,41.6075748030823,41.3245585139086,41.352466273029,41.379471553763,41.3099894021301,40.6175374506412,40.47800775314,41.2314996994988,41.3450079000067,41.4164091004048,41.2271138819858
900,40.7845431831435,40.3063678051275,40.3064798178206,40.3064881122942,0,1,1,1,40.8912592705386,40.8640341606718,40.940871459645,40.4060598321845,40.5695159242547,40.7186269482666,40.7341947790746,40.7990705319005,40.8155272777416,40.7248954066968,40.6666450623853,40.5979011050848,40.5751187964362,40.5672508693546,40.6694899547504,40.8048483278231,40.857717741778,40.8429023390511
1080,40.8001978862062,40.3062012322506,40.3063873444034,40.3064005391844,0,0,0,0,40.7313710170054,40.7985784078203,40.7956488131237,40.7589708443157,40.8169337405867,40.8308466128849,40.7967138361299,40.8164089111221,40.811626941981,40.7889688237203,40.7947777880759,40.7665393100939,40.8250812160961,40.806435359059,40.8148650693773,40.8314369121427,40.8366082111026,40.8396824596513
1260,40.8012235756709,40.3065172208308,40.3064426972356,40.306417121209,0,0,0,0,40.7961244836545,40.8115468345087,40.8154617892539,40.8076014441372,40.8086659757658,40.812390321342,40.7962937657683,40.7950859922775,40.8085382021481,40.8101169643084,40.8109934265963,40.8087242577342,40.8058618147432,40.8152196418826,40.8145353447033,40.8139290241434,40.8142914076886,40.8152247543655
1440,40.8058786973696,40.3064677969437,40.3064493228708,40.3064620830557,0,0,0,0,40.7700036073902,40.8111766795838,40.8033595833434,40.8083059521956,40.8065972555981,40.8058591077908,40.8041500673222,40.8054308982368,40.8041990251077,40.8041858130961,40.8054349266921,40.8066024961669,40.8072562972667,40.8148992631031,40.8145752031983,40.8113635100967,40.8105951227009,40.8119856424109
1620,40.8041126256222,40.3064323679639,40.3064325527091,40.3064056668667,0,0,0,0,40.7412279809788,40.8014202149962,40.8047708336549,40.7970590464475,40.7970242110216,40.7993805419134,40.8001599124813,40.8017115052633,40.8062342988375,40.8062953959833,40.807693886329,40.8070507498427,40.8058345345074,40.8023656030627,40.8062976995918,40.8071614775519,40.8076456424612,40.8083662962115
1800,40.8026855647725,40.3064448430456,40.3064376036419,40.3064535016264,0,0,0,0,40.7591243745994,40.8021836720487,40.7960971466512,40.8022367778029,40.8013062049977,40.8010409715815,40.8004571014335,40.8004880088856,40.7986301961875,40.8007168763191,40.8016291987624,40.8034036038342,40.8035828397744,40.8046729772323,40.8042776635573,40.8041979628509,40.8033710585868,40.8033895526533
1980,40.798762790552,40.3064351850836,40.3064378606741,40.3064278454142,0,0,0,0,40.7904707419716,40.8016307075672,40.7864025640109,40.7931771937244,40.7968323004841,40.799436626526,40.8007389586736,40.8000796888945,40.800937680447,40.801005784216,40.8010771168774,40.8011232991706,40.8002122281286,40.8001270901381,40.800247323147,40.8009099231693,40.8019820230728,40.8019497996503
2160,40.7991893007075,40.3064407259521,40.3064368954791,40.3064441205496,0,0,0,0,40.7982411317408,40.7992777582511,40.7987752357088,40.7992667043745,40.7994555558216,40.7992967982845,40.7989183661364,40.7984256945481,40.7958418386723,40.796837858385,40.7978720962062,40.7986722564955,40.7987749182955,40.7987096030528,40.7985112248488,40.7984670025723,40.7984196150862,40.7984268209306
2340,40.7969839061086,40.3064365158322,40.3064373696571,40.306430103108,0,0,0,0,40.7983445794376,40.7974770231704,40.7980150425094,40.7995175658542,40.7983552507862,40.7985115539042,40.7980601285178,40.7979063233112,40.79695206603,40.7968970170739,40.7964519433631,40.7957314121498,40.7968353768944,40.7968645217504,40.7967544860221,40.7971187478793,40.7974608933192,40.7975037246449
2520,40.7976105631337,40.306438846358,40.3064374680468,40.3064414246352,0,0,0,0,40.7974866923197,40.7942706181741,40.7964635881953,40.7978426710599,40.7970105857734,40.7974397202279,40.7967962647912,40.7958805501633,40.7929075239174,40.7940034333693,40.7947598133828,40.7952816529333,40.7952977024839,40.7952752653459,40.7949666128579,40.7946673138182,40.7939628803852,40.7932032388145
2700,40.7933894764441,40.3064365506461,40.3064374012105,40.3064356347593,0,0,0,0,40.7952875184431,40.7923835270288,40.7954380463736,40.7946896471988,40.7953646198459,40.7950451216389,40.7940938643328,40.7947579410091,40.7947262518143,40.7945196948994,40.7944585972021,40.7937754785757,40.7947625569246,40.7910799800564,40.7933264424253,40.793328676556,40.7941049423542,40.7945126645824
2880,40.7940640105508,40.3064375085871,40.3064374793055,40.3064378341331,0,0,0,0,40.7946019024089,40.7856227440772,40.7942254557314,40.7952354651957,40.7948029561131,40.7936200532605,40.7944958292103,40.7948182661092,40.7940045726079,40.7943641060805,40.7943406569131,40.7938258651192,40.7920562930369,40.7914728529401,40.7929590518351,40.7937891424556,40.7940892436414,40.7941729674021
3060,55.6014507650258,40.3064442649017,40.3064374590329,40.3064404526292,1,0,0,0,51.9803237999952,51.680429209675,53.7211309087769,54.9087556197721,55.329013496115,55.5073431090296,55.2956978013766,54.9194734493318,53.0130913602185,47.025191807847,42.7645662018077,42.9670187962305,52.9353479697663,52.6368665611363,52.5749648706772,51.58298709192,53.0629090023115,53.3674681817049
3240,44.3083928586559,40.3064825929184,40.30646928146,40.3065285702727,0,3,3,3,40.3537128791436,40.3489133720387,41.0261526173901,40.8509520783562,43.5555731110993,44.3566419658563,45.2825325919148,47.8846956773,42.3899671760964,43.97887038007,44.3098424181024,44.285804707605,46.2798228232581,41.777547687866,42.3788578105811,43.4648427582381,41.7455901956274,41.1505654536137
3420,41.2034106106487,40.3068603094124,40.30673464923,40.3067200304904,0,1,1,2,40.341518092941,40.9007213465392,42.4900718969714,41.1354631259255,41.3462666127398,41.0174859020319,41.3502524003057,41.7748639411134,41.5325657862595,41.101522943762,41.0526424347088,40.9448325382516,41.3509785167384,41.8081213800447,42.0742267778989,42.0610814391027,41.9410980038434,42.1203069722187
