"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4741429763337,40.3064424930146,40.3064379649804,40.3064385567051,0,1,1,1,41.4530390107393,41.4441585638974,41.4634733560919,46.5080495709924,50.2298198261066,50.4683911772491,50.4753685116382,50.4754165319859,48.4680050895393,50.4201485794443,50.4753024383622,50.4754038254658,49.4536706925696,45.7200179642646,47.9494923974372,50.0284101127166,48.6417257769693,46.7904910354
90,50.2699556074336,40.3064487959309,40.3064477024032,40.3064459136634,0,1,1,1,44.5318556902403,48.2145153458377,48.3317440470314,41.1360662826024,44.4539786474904,48.8456656671505,50.329287434302,50.4556038140607,45.8021437699417,50.4495876483402,50.2780778833179,47.4522774741143,41.9324979310793,41.8763500012225,43.2505207480929,46.8223059094411,46.4060061116675,45.9329640075163
120,47.9176440713677,40.3064327762037,40.3064394217014,40.3064387275586,0,1,1,1,43.7985384633551,48.548727733176,49.2376793193866,40.915579283805,41.1795184620685,42.660964847557,46.0483239071149,48.0180448661752,47.6963483705226,47.2703369171554,45.4810945614377,43.0983478815679,42.8216976655902,42.0544984011821,42.1081653840288,42.7233780478466,46.4779587579123,46.5924258161391
150,44.5099284114645,40.3064562761689,40.3064509350055,40.3064621483631,0,1,1,1,45.3005970611603,47.0842615554647,48.5166828617295,41.3078049073184,41.4548849506116,41.5495855812893,42.0721457138723,43.0521845281096,44.3083862793915,43.500898167559,42.9897856570062,42.7893101117154,42.7661418567898,42.1549598460062,42.2536512985925,42.5059148805864,46.7694286008643,46.9750277595314
180,43.5943201652663,40.3064604116453,40.306449558748,40.3064503943361,0,1,1,1,45.3002103774182,44.4369540486147,43.7283540660813,41.6211406536105,41.8167359309057,41.8129789133206,41.8233006887331,41.918962503801,43.3204919887281,43.3953338914778,43.7097510127442,43.8820529950739,43.0060833500868,42.2099806786323,43.3060260386946,43.9037371472381,45.8682895341512,46.7836087421357
210,43.6328891013402,40.3064479542668,40.3064482994879,40.3064380180017,0,1,1,1,43.9793175478871,43.1733880922774,43.3847911823988,41.1083986237162,41.6124193225939,41.8168749815433,41.8328688521016,41.8595453575294,43.8855697209248,44.0502367190941,44.14316754977,43.7907927451885,42.4091641574112,41.8815890912733,42.8714054799025,44.1967864032788,44.4131843619692,46.6720423740342
240,43.8312901048293,40.3064688222834,40.3064600053036,40.3064474220091,0,1,1,1,43.6766603611071,42.7511034183717,43.169130692965,40.9492483713446,41.1196196575478,41.3983905404385,41.5297657016251,41.6715600739721,43.8618009596353,43.7204357495149,43.3018976915904,41.9199152924013,41.0851587223864,41.2349739530683,41.481954685669,43.1540918536473,44.2776928559885,46.3792282913977
270,43.7093954451297,40.3064616328077,40.3064549124461,40.3064491138109,0,1,1,1,43.0203829486275,42.4624329369448,42.645338395138,41.1685242002345,41.2822117229794,41.3652231220928,41.5045916786772,41.6770163550568,43.1951897968766,42.4850600241768,41.4906588732605,40.9282789257736,40.8322334679965,40.9663497185946,41.0324306605447,42.1818199928279,43.6991889448744,44.9159442880741
300,43.2139113835821,40.3064586588626,40.3064534559197,40.3064500470987,0,1,1,1,42.4583941981692,42.2486137900977,42.2207829642244,40.9121478010494,41.1967339103611,41.4999501024183,41.7333779494866,41.8119264218471,41.8209575963402,41.3219466137599,41.0670957552365,40.8813815777961,40.807558900697,41.1161940778901,41.0801749069589,41.7138218112843,42.8081202122201,42.9986192959419
330,42.5354027512156,40.3064667070553,40.30645657517,40.3064533895287,0,1,1,1,41.9663916380107,41.9682357839675,41.9699037115928,40.6781476588658,40.8998884258517,41.2360484118089,41.6091224828574,41.6160522831201,41.2573888677778,41.073818699894,40.9627290484677,40.8279057754485,40.804322143232,41.5322523132709,41.4509669742194,41.7363939766638,42.333236343286,42.1877588336732
360,41.9726577170895,40.3064680353253,40.3064517374132,40.3064539610553,0,1,1,1,41.5577891106133,41.7904512544904,41.6355094786217,40.5313520210496,40.6751563596811,40.9159479083743,41.1722072544343,41.2624782709877,41.2400170883276,41.1324206442485,40.9741765926649,40.898989841295,40.8958643381399,41.3732681907335,41.4454516385471,41.7643730787121,42.2970994117072,41.9375450466826
390,41.5796442664044,40.3064646796955,40.3064487114249,40.306454901681,0,1,1,1,41.2988593051663,41.6626803117596,41.4664064522196,40.5184589282573,40.6425503916277,40.7748781790809,40.923028015892,41.0577471972253,41.3018347988502,41.1713584654898,40.9734813246246,40.8268716214708,40.7931070845952,41.0789188729125,41.2455694844849,41.5794123823038,42.147897167327,41.9244855749065
420,41.299127936345,40.3064500467287,40.3064439964941,40.3064389463836,0,1,1,1,41.1012758901081,41.3421825543623,41.2823192656418,40.5078789100008,40.6848594854247,40.8675809153999,40.890583583158,40.9530913270603,41.207391664153,41.0406363254631,40.8452735070627,40.6655149194261,40.619648719192,40.8073776192646,40.9474890143335,41.3791241818932,41.921386922681,41.8249069160385
450,41.140787657577,40.306442829557,40.3064383186552,40.3064307691752,0,1,1,1,40.9901325443415,41.0616631856532,41.0898368402918,40.4782718146657,40.6390090146851,40.8748559095182,40.8782037581462,40.892068133861,40.9939904668959,40.8442380303192,40.6743769564062,40.5523389535813,40.5317780953658,40.7265295768991,40.803318364226,41.1548069775656,41.6949124091544,41.6420258889895
480,55.6015450615596,40.3064585762976,40.3064388290751,40.3064207098731,1,1,1,1,45.7652156392463,43.8369693990164,49.5693089228341,42.0923386045786,45.0348429891686,54.4281071642799,54.2086576256599,52.6498382330734,43.6310617862223,44.049643193491,44.8222564962951,46.1129784704901,46.3186280632123,42.2948682984404,43.0018360860234,43.8970412107667,44.6531287825499,44.7754012361921
