"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
360,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
540,45.9441211926092,40.3064403427608,40.3064377822205,40.3064382077029,0,3,3,3,40.3829228847594,40.3848994334121,40.3826426016775,40.7733452939787,42.1038055361268,43.4727833672335,44.9948659803343,46.0404577522948,41.1496842224986,43.0594269806765,45.2475735904371,47.3854860302103,44.3955811545486,40.7546952587368,41.0801275507502,42.3539810580778,41.6301008682378,41.0622529976358
720,42.6346825836716,40.3066810224535,40.3063987541775,40.3063395128751,0,0,3,3,41.5379427627465,41.891994634975,41.8595057540374,41.6213967957936,41.9513104079162,42.0214050047033,43.005492724604,43.4669681201503,41.1729204269004,41.1366266244663,41.0070613850233,40.7364264268208,40.5933644460351,40.5162137531627,40.5551603904367,40.5240225194341,41.4690615208408,41.423437388028
900,40.6450252227721,40.3064137319928,40.306553831787,40.3065323480003,0,3,3,3,40.3117504758102,40.7603197441469,40.7292019456406,40.3667431965377,40.3907000988131,40.4181900313092,40.5108786529912,40.5666153208611,40.5110156748817,40.5040971738469,40.4899472630806,40.4767379060054,40.4697212814342,40.3872012187562,40.386457011051,40.3861106762151,40.7557654719192,40.8378501336664
1080,40.5572986697512,40.3063357228205,40.3063508875918,40.3063833960083,0,0,0,0,40.513926000124,40.646828796057,40.6467387366575,40.5787737931487,40.5720134869765,40.6067432449065,40.6498135488478,40.6617018250892,40.6453482104795,40.6460242518426,40.6450617075995,40.6461140161344,40.6499420593749,40.6409377436042,40.6468172354798,40.651466422239,40.7021408385206,40.6861303287024
1260,40.6252175256447,40.3063688965302,40.3064695394788,40.3064195153954,0,0,0,0,40.6115263638819,40.6423002653678,40.6522167466746,40.6088942591857,40.6183358552961,40.6287871540364,40.6322541072275,40.6358063855556,40.6478680566558,40.6497656740693,40.6498053344499,40.6481219905573,40.6450137747452,40.6459697402408,40.6454515854619,40.6455089602306,40.6469333110984,40.6537854023703
1440,40.6361533467356,40.3063417624623,40.3063960851164,40.3063925393559,0,0,0,0,40.616184343985,40.6403384090545,40.6435819798882,40.6273656412651,40.6313024010536,40.6287418034921,40.6358127136584,40.6450682930891,40.6426768932832,40.6467121303519,40.6464017225974,40.6461764107999,40.6449592932446,40.6387167149624,40.63937150293,40.6406994474733,40.6406197031165,40.6412401716745
1620,40.6338980733743,40.3064897894779,40.3064402746814,40.3064197881919,0,0,0,0,40.6312298153486,40.6370904882656,40.6398704390072,40.635167702855,40.633013606997,40.6327707582659,40.6328259981383,40.6405733409092,40.6430313456705,40.6433298134518,40.6438341998203,40.6425570971775,40.6410723773994,40.6363523887476,40.6362820643151,40.6396071959556,40.6392255887155,40.6394325175954
1800,40.6337616435071,40.3064204403651,40.3064232873124,40.3064157334725,0,0,0,0,40.630609053955,40.6361580546646,40.6372014761962,40.6366431047718,40.6336932712408,40.6342870342268,40.6338725682846,40.6367620255876,40.6404632104637,40.6401250940569,40.6404114772243,40.6396150935472,40.6384534627835,40.6361512441739,40.6369505831042,40.6370059218406,40.6379266992538,40.638305267358
