"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
300,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
600,43.6537136898773,40.306441299011,40.3064377736458,40.3064354919391,0,3,2,1,40.3540656294796,40.3890883494727,41.1601359299003,40.5431205746731,41.1884777285731,41.8951919106018,42.7829632002362,43.4468561704817,40.8084685006734,41.6633633132097,42.6622504383542,43.8619772998046,44.8227926176476,40.6965521891676,40.9337596909434,41.5916704808696,43.0019383038168,42.1699100435548
900,40.8396159091176,40.3059168169833,40.3064115458879,40.3066419954278,0,2,1,0,40.4551436023024,41.2478641619976,40.7864206905786,40.36627261532,40.4189177081861,40.4372109138916,40.4683781168805,40.5124287557641,41.1728909628112,41.3729035173493,41.3599681696555,41.4715407016963,41.5548476409361,40.7523935536185,40.7653682115821,41.0249709713458,41.1869573926785,41.4062997538146
1200,40.7173621673847,40.3065594682628,40.3064348367332,40.3064630690888,0,1,0,0,40.5338033370278,40.8902181383763,40.7222233124677,40.4079795958061,40.4355046412444,40.7235158874921,40.7274119091563,40.7326769347475,40.5908480666175,40.6402492863137,40.6601223355818,40.6992717355582,40.7274403690175,40.852911857613,40.8485976414401,40.8429200198127,40.8636972314836,40.7834260425855
1500,40.4277012068868,40.3066681797767,40.3064428261444,40.3065430851947,0,1,0,1,40.4492789918893,40.5052788796681,40.4307667181547,40.3660611988118,40.3789549815835,40.3847053121368,40.3978211033241,40.4075756800193,40.4295898717032,40.4088451600593,40.403010393162,40.423848548226,40.4197401380869,40.5106393739811,40.533552976834,40.487522831132,40.4681540413061,40.384548066382
1800,40.4467185100006,40.3063990104656,40.3064204932546,40.3063562193869,0,0,0,0,40.4426935075938,40.4510967094947,40.4440997833166,40.4483826995007,40.4470960292212,40.4453509920885,40.4420302213398,40.4409204437669,40.4466302381551,40.4435564577749,40.4406624403954,40.4388874875477,40.4396260693334,40.4579999485682,40.4583041240703,40.4759557045646,40.480660823549,40.4749468167618
2100,40.4502509985705,40.3064758205272,40.30644377141,40.3064748352249,0,0,0,0,40.4460979967224,40.4507583950414,40.4522789262181,40.4516018997814,40.4514731535768,40.4513176153262,40.4508302052881,40.450468461499,40.4525736369379,40.4524242520097,40.4525105852457,40.4511008773141,40.4498593485814,40.4542660607615,40.4547207541761,40.4595814281721,40.4647206342236,40.4648828658722
2400,40.3804065914585,40.306531097522,40.3064395539855,40.3065110079744,0,1,0,1,40.3090027386831,40.3230132910215,40.3261555148799,40.3619747496413,40.3815014511525,40.3772251813081,40.3685004974007,40.343484937045,40.3903317590832,40.4026878961848,40.393804890771,40.3626714017733,40.3321043248281,40.3613948935854,40.3608904663055,40.3780282600543,40.3646205874322,40.3419760524205
2700,40.3748374009807,40.3063495404186,40.3064369484911,40.3063535357558,0,0,0,0,40.3610870507781,40.3665594477329,40.3603937102956,40.3625029991112,40.3713370845497,40.374821130284,40.3728123156944,40.3553503091607,40.3766021588582,40.3726777905868,40.3689142435114,40.3703189816125,40.3656122587017,40.3728669665387,40.3743751182327,40.3773038531323,40.3745482131259,40.3679466988687
3000,40.3676787338967,40.3064577671355,40.3064377965844,40.3064649274491,0,0,0,0,40.3596637722257,40.3673295424876,40.3609954066939,40.3672429004572,40.3688851190292,40.3684546233694,40.3640797366843,40.3638615867923,40.3710028176605,40.3702697883729,40.3726092648849,40.3730459419219,40.369215173748,40.3708270031507,40.3702951092973,40.3708957798195,40.3700660752269,40.3696303495428
